,year,D
0,1997,8.922084072336617
1,1998,8.514873514417076
2,1999,8.3827879063164
3,2000,7.853523908215033
4,2001,7.6649614379264515
5,2002,7.640546200170236
6,2003,7.688120045044386
7,2004,7.778220360771143
8,2005,7.678100077999359
9,2006,8.171118186949348
10,2007,7.961510073627093
11,2008,7.401625023714635
12,2009,6.576063666921311
13,2010,6.587687963505976
14,2011,6.480581374422205
15,2012,6.453951198335777
16,2013,6.343788858650573
17,2014,6.178634835682991
18,2015,6.255155801609078
19,2016,6.368099237968467
20,2017,6.419396289325766
