,specs,numerator,denominator
1997,6.881429392246602,0.13568084244530507,0.019716956276290283
1998,6.744654130765545,0.13571161855033048,0.020121360698287828
1999,6.695137324922306,0.13648580081278236,0.02038581050529329
2000,6.148402491061025,0.13661199292897488,0.022219103763553363
2001,5.594486034019615,0.13172687577669434,0.02354584048930928
2002,5.573156272426147,0.1313396607828751,0.023566477299890847
2003,5.5623018167290486,0.1339471944929677,0.024081252493367275
2004,5.483804553919218,0.13645279284604617,0.024882869457578456
2005,5.3361289577434725,0.13647055440157882,0.025574823150317776
2006,5.766187489721828,0.1362584909324826,0.023630603613802363
2007,5.467509638781812,0.13320594016413523,0.024363183417050942
2008,5.230768274332661,0.1293627305770297,0.024731114779412353
2009,4.867153379980175,0.11978785579339359,0.024611481587186287
2010,4.903415399854381,0.12220490065536466,0.024922404220330558
2011,4.6361955088966535,0.11828014227622288,0.025512328384178048
2012,4.532580771040835,0.11845522342328973,0.026134167135004716
2013,4.294568095300512,0.11636354720629023,0.027095518018127433
2014,4.0961249183292034,0.11582018129513233,0.02827554911151856
2015,4.0293032968415305,0.1178624571840417,0.029251324236731227
2016,4.019400608968829,0.12281451244807606,0.03055542962650442
2017,3.7720694434638022,0.12036935539266856,0.03191069443359352
