,2080_0000021344_1997_COCA-COLA-CO,2820_0000030554_1997_DUPONT-E-I-DE-NEMOURS-&-CO,2834_0000078003_1997_PFIZER-INC,2834_0000200406_1997_JOHNSON-&-JOHNSON,2834_0000310158_1997_SCHERING-PLOUGH-CORP,2840_0000080424_1997_PROCTER-&-GAMBLE-CO,2911_0000034088_1997_EXXON-CORP,2911_0000093410_1997_CHEVRON-CORP,3021_0000320187_1997_NIKE-INC,3290_0000066740_1997_MINNESOTA-MINING-&-MANUFACTURING-CO,3531_0000018230_1997_CATERPILLAR-INC,3570_0000051143_1997_INTERNATIONAL-BUSINESS-MACHINES-CORP,3576_0000858877_1997_CISCO-SYSTEMS-INC,3600_0000040545_1997_GENERAL-ELECTRIC-CO,3674_0000050863_1997_INTEL-CORP,3721_0000012927_1997_BOEING-CO,3724_0000101829_1997_UNITED-TECHNOLOGIES-CORP-/DE/,4813_0000732712_1997_BELL-ATLANTIC-CORP,4813_0000732717_1997_SBC-COMMUNICATIONS-INC,5211_0000354950_1997_HOME-DEPOT-INC,5331_0000104169_1997_WAL-MART-STORES-INC,5812_0000063908_1997_MCDONALDS-CORP,7372_0000789019_1997_MICROSOFT-CORP,7990_0001001039_1997_WALT-DISNEY-CO/
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
