,2080_0000021344_2004_COCA-COLA-CO,2670_0000066740_2004_3M-CO,2820_0000030554_2004_DUPONT-E-I-DE-NEMOURS-&-CO,2834_0000078003_2004_PFIZER-INC,2834_0000200406_2004_JOHNSON-&-JOHNSON,2834_0000310158_2004_SCHERING-PLOUGH-CORP,2840_0000080424_2004_PROCTER-&-GAMBLE-CO,2911_0000034088_2004_EXXON-MOBIL-CORP,2911_0000093410_2004_CHEVRONTEXACO-CORP,3021_0000320187_2004_NIKE-INC,3531_0000018230_2004_CATERPILLAR-INC,3570_0000051143_2004_INTERNATIONAL-BUSINESS-MACHINES-CORP,3576_0000858877_2004_CISCO-SYSTEMS-INC,3600_0000040545_2004_GENERAL-ELECTRIC-CO,3674_0000050863_2004_INTEL-CORP,3721_0000012927_2004_BOEING-CO,3724_0000101829_2004_UNITED-TECHNOLOGIES-CORP-/DE/,4813_0000732712_2004_VERIZON-COMMUNICATIONS-INC,4813_0000732717_2004_SBC-COMMUNICATIONS-INC,5211_0000354950_2004_HOME-DEPOT-INC,5331_0000104169_2004_WAL-MART-STORES-INC,5812_0000063908_2004_MCDONALDS-CORP,7372_0000789019_2004_MICROSOFT-CORP,7990_0001001039_2004_WALT-DISNEY-CO/
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
