,2080_0000021344_2008_COCA-COLA-CO,2820_0000030554_2008_DUPONT-E-I-DE-NEMOURS-&-CO,2834_0000078003_2008_PFIZER-INC,2834_0000200406_2008_JOHNSON-&-JOHNSON,2834_0000310158_2008_SCHERING-PLOUGH-CORP,2840_0000080424_2008_PROCTER-&-GAMBLE-CO,2911_0000034088_2008_EXXON-MOBIL-CORP,2911_0000093410_2008_CHEVRON-CORP,3021_0000320187_2008_NIKE-INC,3531_0000018230_2008_CATERPILLAR-INC,3570_0000051143_2008_INTERNATIONAL-BUSINESS-MACHINES-CORP,3576_0000858877_2008_CISCO-SYSTEMS-INC,3600_0000040545_2008_GENERAL-ELECTRIC-CO,3674_0000050863_2008_INTEL-CORP,3721_0000012927_2008_BOEING-CO,3724_0000101829_2008_UNITED-TECHNOLOGIES-CORP-/DE/,3841_0000066740_2008_3M-CO,4813_0000732712_2008_VERIZON-COMMUNICATIONS-INC,4813_0000732717_2008_AT&T-INC.,5211_0000354950_2008_HOME-DEPOT-INC,5331_0000104169_2008_WAL-MART-STORES-INC,5812_0000063908_2008_MCDONALDS-CORP,7372_0000789019_2008_MICROSOFT-CORP,7389_0001403161_2008_VISA-INC.,7990_0001001039_2008_WALT-DISNEY-CO/
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.010267158031216377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013091840703542334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007671646448850067,0.0
