,2080_0000021344_2001_COCA-COLA-CO,2820_0000030554_2001_DUPONT-E-I-DE-NEMOURS-&-CO,2834_0000078003_2001_PFIZER-INC,2834_0000200406_2001_JOHNSON-&-JOHNSON,2834_0000310158_2001_SCHERING-PLOUGH-CORP,2840_0000080424_2001_PROCTER-&-GAMBLE-CO,2911_0000034088_2001_EXXON-MOBIL-CORP,2911_0000093410_2001_CHEVRON-CORP,3021_0000320187_2001_NIKE-INC,3290_0000066740_2001_MINNESOTA-MINING-&-MANUFACTURING-CO,3531_0000018230_2001_CATERPILLAR-INC,3570_0000051143_2001_INTERNATIONAL-BUSINESS-MACHINES-CORP,3576_0000858877_2001_CISCO-SYSTEMS-INC,3600_0000040545_2001_GENERAL-ELECTRIC-CO,3674_0000050863_2001_INTEL-CORP,3721_0000012927_2001_BOEING-CO,4813_0000732712_2001_VERIZON-COMMUNICATIONS-INC,4813_0000732717_2001_SBC-COMMUNICATIONS-INC,5211_0000354950_2001_HOME-DEPOT-INC,5331_0000104169_2001_WAL-MART-STORES-INC,5812_0000063908_2001_MCDONALDS-CORP,7372_0000789019_2001_MICROSOFT-CORP
24,-0.21382068097591397,0.25572365522384644,-0.8821913003921509,-0.2366949617862701,-0.20703580975532526,0.107469342648983,0.26690277457237244,-0.4880257546901703,-0.261226624250412,-0.3284403085708618,0.1051000952720642,0.28546059131622314,0.9169403910636902,-0.025523649528622627,0.010106200352311134,0.05920282378792763,0.4797815680503845,0.3187264204025269,0.9297228455543518,0.06732814013957977,-0.024095797911286358,0.8524348735809326
25,-0.12030305713415144,0.09142076224088667,0.6684450507164001,0.047311916947364814,0.22543039917945865,0.08245731145143509,-0.19301888346672055,-0.12760543823242188,0.18046934902668,0.0474400520324707,0.34154194593429565,0.032693590968847275,-0.015634000301361084,0.2627387046813965,0.4076138734817505,0.1557486206293106,1.000387191772461,0.3306918144226074,0.11282053589820862,0.547663152217865,0.03980360925197601,0.6229847073554993
26,0.8091363310813904,0.2447033524513245,0.02606637217104435,0.421407550573349,0.12362542748451233,0.13900521397590634,0.07256517559289932,0.030140114948153492,-0.9586352705955504,0.029427353292703632,0.16115903854370114,0.09328067302703856,0.3162249326705933,0.18924592435359955,-0.6410613059997559,0.3805248141288757,-0.9771698117256165,-0.4659792184829712,0.06536848098039627,-0.15941114723682406,0.3506859838962555,-0.3090081810951233
27,-0.42087706923484797,0.0812203660607338,-0.23115265369415286,0.18149490654468536,0.09332355111837387,-0.0349632129073143,-0.2071828693151474,0.2272190749645233,-0.8317362070083618,0.2371411919593811,0.1648290604352951,0.01045815832912922,0.003918249160051346,0.05608498677611351,0.14200834929943085,-0.6215870976448059,0.509541928768158,-0.1536770910024643,0.03305952250957489,-0.16788993775844574,0.09485411643981934,0.3635012209415436
28,0.94342303276062,0.6041905283927917,0.8806862831115723,0.4415654540061951,0.5372822880744934,0.4941026568412781,0.2829145193099976,1.5584497451782229,0.5525052547454834,0.9558458924293518,0.2651400566101074,0.4554763734340668,1.2397136688232422,1.745344161987305,1.2984801530838013,0.981799066066742,1.5490938425064087,1.0971193313598633,0.3235904276371002,1.0348062515258791,0.6447711586952211,1.5440760850906372
29,-0.7577128410339355,-0.18076074123382568,-0.4691071808338165,-0.12479546666145325,-0.107099711894989,-0.31310510635375977,-0.2435656636953354,0.38754618167877203,-0.5630548000335693,-0.14334332942962644,-0.007915504276752472,-0.2367280125617981,-0.27222511172294617,-0.1886064410209656,-0.33160004019737244,-0.5951100587844849,-0.5032713413238525,-0.5046280026435852,-1.13222074508667,-0.32200536131858826,-0.33185920119285583,-0.3642095327377319
30,0.3200013041496277,-0.4690718948841095,0.05650278925895691,0.0024132821708917613,-0.16117332875728607,-0.044808484613895416,-0.10228057205677032,0.5344633460044861,-1.047671914100647,0.06568535417318344,-0.17510172724723816,-0.17952485382556915,-0.4790467917919159,-0.3827157318592072,0.39823177456855774,-0.2981264889240265,-0.4361702501773834,-0.42086997628211975,-0.5599499344825745,-0.6876886487007141,-0.09934045374393463,-0.3148298561573029
31,0.4269558191299439,-0.5137330889701843,-1.0028061866760254,-0.5204491019248962,-0.3723493814468384,-0.2725747227668762,-0.5044734477996826,-0.4750583469867706,0.05904898419976234,-0.2929728627204895,-0.10265927016735077,-0.23371033370494845,-0.2487771809101105,0.3576354682445526,-0.18554125726222992,-0.3277902603149414,-0.28576567769050604,0.1930236965417862,0.5707494020462036,-0.0137417521327734,-0.3995858132839203,0.5203093886375427
32,0.43967142701148987,-0.18027782440185547,0.15807129442691806,0.005054371431469917,-0.11292985081672667,-0.2650677859783173,0.0026908176951110363,-0.8734396696090698,0.21468257904052732,-0.2147890329360962,-0.3015637099742889,-0.23013795912265775,0.08076794445514679,-0.5025960803031921,-0.3278396427631378,-0.2268792986869812,0.6301625967025757,-0.1864200234413147,-0.5857671499252319,0.09875822067260742,0.07864069193601607,-0.3124208450317383
33,0.6791066527366638,0.2984606027603149,1.2812349796295166,0.13927267491817474,0.11273510754108428,0.07016296684741974,0.19129431247711184,1.2312766313552856,0.5714083909988403,0.2455721646547317,-0.0174676775932312,0.12604838609695435,0.8047652244567871,0.4539161920547485,0.21898193657398224,0.5439198017120361,0.7894092202186584,0.4047378301620483,0.10108742862939836,0.28066807985305786,0.41335779428482056,0.9903302192687988
34,1.1670080423355105,0.3634125590324402,0.8632173538208008,0.3721455931663513,0.13531392812728882,0.10222047567367554,0.04560794681310654,1.2197000980377195,0.411397784948349,0.14896349608898166,0.071851447224617,0.09221461415290833,1.0086396932601929,0.33389079570770264,0.42840960621833796,0.37764233350753773,0.9842454791069032,0.0919954925775528,-0.1872578859329224,0.009189838543534279,-0.1361333429813385,0.30849510431289673
35,-0.5470505356788635,-0.01540590822696686,-0.4823129177093506,-0.3042944669723511,-0.3940410912036896,0.03380723670125008,0.06513593345880507,0.020657353103160855,-0.028375426307320595,0.06508814543485641,0.0863431915640831,-0.062337581068277366,0.04544943571090698,-0.2787369787693024,0.4556643664836884,0.4015427827835083,-0.015458264388144016,-0.278814435005188,0.4019237756729126,0.03415999561548233,-0.3490382432937622,0.8380049467086792
