,dims
1999,170
2005,162
1997,171
2017,154
1996,164
2004,161
2016,160
2014,165
2001,177
2015,161
2012,164
1995,139
2007,164
2006,166
2009,159
2002,166
1998,171
2003,164
2013,165
2000,169
2011,166
2010,167
2008,167
