,dims
2002,2492
2012,2355
2006,2195
1999,2690
2001,2632
2016,2097
2008,2253
2010,2447
1998,2715
1996,1989
2007,2102
2009,2547
2005,2233
2011,2389
2003,2445
1997,2646
2004,2278
1995,980
2013,2279
2014,2251
2017,1959
2015,2202
2000,2681
